partner;marriage;farewell;divorce;separation;education;work
22;22;33;48;22;48;17
19;19;;;19;19;19
16;26;16;;15;;16
;20;;;27;20;20
;42;;;17;20;24
16;17;38;39;18;;16
;33;;;19;23;21
24;25;;;19;23;24
;24;;;24;18;18
;19;;25;20;18;15
17;26;18;;17;18;17
;21;;;16;24;15
;20;;;18;38;19
20;21;;;20;19;24
21;22;32;37;19;17;18
;19;;;19;19;18
;20;;;15;30;20
19;20;;;19;20;23
;22;;;22;31;20
21;22;;;20;19;20
18;19;54;;18;;33
;18;;;21;19;17
20;21;;;18;21;16
33;33;34;34;18;35;17
20;22;;;18;28;17
19;19;;;19;19;21
20;23;23;;17;22;22
19;20;;;15;19;19
;21;;36;9;33;16
19;20;26;;21;19;19
;22;;;22;38;18
;19;;;15;37;19
;27;;55;15;29;20
19;19;22;22;19;19;23
;20;;;17;20;20
;21;;;21;21;21
;20;;;20;25;21
30;31;35;41;19;19;19
;24;;;18;18;15
;18;;19;18;19;20
22;22;;;19;19;19
;28;;29;18;20;20
;;30;;18;18;15
18;20;30;;18;20;22
20;23;;;20;19;19
;28;;;21;27;27
;18;;40;26;21;17
18;20;;48;18;24;24
18;21;55;;21;;21
;21;;;20;20;20
20;20;;;20;20;21
26;26;27;27;25;14;14
19;20;;;15;19;19
19;20;;;19;18;19
25;27;;;25;;18
;19;;;19;;19
;23;;;23;29;20
24;24;;;22;22;22
19;20;;;15;18;18
18;22;31;31;18;22;15
;;;;26;23;23
16;26;21;;16;;15
19;21;;;17;17;19
;17;;;20;;19
;19;;;6;;16
;25;;;30;19;22
;25;;;17;37;23
;23;;;23;;17
;;;;19;19;19
;21;;;21;34;17
;16;;;16;;16
;21;;;20;20;20
;22;;;18;17;20
21;22;68;;20;19;19
24;29;;;25;40;15
20;20;;;20;19;19
;24;;45;24;;17
;18;;;18;18;19
;20;;;20;;16
16;18;19;19;19;19;19
18;19;30;;18;19;16
;17;;18;18;18;18
;26;;;25;18;18
28;32;48;48;28;18;21
17;17;;;17;;17
;18;;38;18;;18
18;21;18;33;21;;17
;21;;;17;20;17
;18;;24;18;19;18
20;21;;;16;;20
26;27;37;37;26;23;23
19;20;50;;19;;17
21;25;23;29;16;19;19
;;18;;15;16;17
;28;;;27;27;27
18;18;;;18;;17
;25;;;25;19;20
;22;;;24;23;18
;19;;;19;;14
21;22;65;;18;18;18
19;19;;;21;20;23
;;23;;22;19;18
;21;;;21;23;21
;19;;41;17;17;19
;18;;25;16;18;18
;21;;;31;;18
;21;;;31;17;21
;;28;;35;26;20
20;20;;;20;26;17
;22;;29;1;22;22
;22;;24;19;28;19
21;21;;;17;18;18
;22;;;15;26;14
;29;;;29;15;15
34;35;;;44;26;18
;22;;;31;18;13
31;32;36;36;32;19;19
;;;;22;20;21
;24;;;18;;16
;25;;;19;;14
;24;;;44;23;20
;22;;;27;19;25
;19;;;20;;18
;;;;16;;17
27;35;34;;18;23;23
;;;;20;;18
;;24;;18;18;16
19;19;41;44;27;18;19
21;21;;;18;22;20
22;24;38;42;27;27;21
20;23;;;13;18;15
;;;;22;21;21
;22;;;19;17;16
;23;;;19;21;19
;19;;33;18;18;18
;21;;;21;;18
;17;;21;17;16;19
19;19;;;19;18;19
;19;;23;19;18;19
;25;;;20;28;20
;19;;;18;18;18
;;;;24;21;21
;19;;;18;19;18
;27;;;27;25;19
29;36;;;15;17;16
;27;;35;34;18;18
17;23;18;;31;18;18
;;;;22;22;20
;23;;;17;22;22
;24;;;30;29;16
;27;;;27;26;18
;20;;;20;35;18
;17;;22;21;18;18
;22;;;37;;17
;;;;29;;17
23;26;;;20;18;20
25;29;;;25;;17
18;19;21;21;19;19;19
;17;;;19;;16
;;;;20;19;19
26;27;;;17;21;24
22;23;;;22;19;19
;29;;;19;30;17
;19;;31;23;19;19
;18;;;18;17;18
;21;;36;14;20;21
;18;;;18;18;20
;;;;31;20;18
;22;;37;15;20;17
;20;;;20;;17
18;21;19;;21;19;17
21;25;29;36;27;36;18
;;28;;26;18;18
;24;;;21;;17
31;36;;;23;18;18
;;;;;23;23
;19;;20;19;34;19
;19;;23;23;23;23
;21;;;21;22;22
;;;;;18;20
;24;;;27;;17
17;21;45;45;17;17;18
;24;;;17;23;23
;;;;19;19;19
;35;;;25;20;17
28;29;;;28;23;23
;24;;;19;18;19
;19;;;19;17;16
;29;;;29;25;17
;20;;;23;;17
;21;;;21;26;17
;23;;;19;19;19
20;21;;;18;36;19
;20;;21;15;17;17
;25;;;17;22;22
;25;;;29;19;19
17;18;;;17;17;17
23;23;;;22;18;18
22;23;;;27;20;16
23;29;39;;20;36;20
;18;;;15;17;17
;;;;;;20
;;38;;17;22;22
;;;;27;46;16
;19;;24;19;20;20
;21;;;25;19;18
;22;;;17;32;21
23;24;47;;22;31;18
;16;;;18;;16
;22;;;15;;18
16;17;;;18;;16
;21;;;21;21;17
;22;;;17;20;21
;;24;;17;19;19
24;24;25;25;19;24;24
23;23;;;22;26;21
37;37;;;3;18;18
;22;;;18;22;18
;;;;24;20;18
21;21;;;17;18;18
;22;;;16;36;22
;22;;;22;18;19
;19;;;19;17;23
;22;;35;5;25;15
23;24;30;34;18;34;21
;;;;;23;24
;;34;;26;36;21
17;17;20;20;1;24;15
;25;;;18;25;19
54;21;;;17;22;23
;;25;;19;;19
22;22;;;17;23;17
;24;;;18;22;20
;22;;35;22;20;19
;22;;;16;25;22
;21;;;21;18;16
26;27;;;19;19;21
;18;;;9;;17
;;26;;19;22;22
17;18;24;24;17;17;17
24;25;32;35;15;18;18
19;30;21;45;18;21;17
25;30;27;41;21;28;17
;;;;12;20;20
;20;;;20;;18
26;31;50;;26;;22
;;;;22;34;17
;;;;21;;21
21;22;30;30;17;36;21
19;23;26;30;19;20;19
;27;;28;17;20;24
;30;;;18;18;18
22;23;;;17;19;18
;;23;;18;18;18
;19;;;36;22;21
;21;;;14;19;19
;21;;;22;27;20
;19;;;21;23;22
;24;;;26;19;23
24;24;;;;;17
18;19;;;;20;18
;28;;;19;28;28
17;24;25;26;18;20;29
;20;;;30;17;21
18;18;;;18;;16
19;20;38;;18;;17
;19;;;19;23;18
18;18;38;;18;;16
21;23;;;18;25;25
;20;;;25;19;19
;18;;;15;17;17
;19;;23;23;23;23
;;23;;19;18;
;21;;;21;29;18
;;;;19;36;19
19;19;31;32;16;17;10
;;28;;20;22;21
;22;;;22;22;22
;23;;46;17;22;22
;21;;53;27;28;22
